Pill_Name,Generic_Name,Uses,Side_Effects,Manufacturer,Dosage (mg),Prescription_Required
"Yaravex2-675","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","BlueLake Pharma","750","Yes"
"Zenoril2-676","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","NovaHealth Labs","100","Yes"
"Acunac2-677","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","MediCore Therapeutics","250","Yes"
"Biomir2-678","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Pillara Biotech","500","Yes"
"Curanex2-679","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","ClearPath Pharmaceuticals","150","Yes"
"Durarova2-680","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","EverWell Labs","500","Yes"
"Evodex2-681","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Suncrest Pharma","250","Yes"
"Flexlon2-682","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","GreenLeaf Bio","800","Yes"
"Genozep2-683","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","PrimeCure Inc","500","No"
"Hemamox2-684","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Horizon Health","600","No"
"Irocillin2-685","naproxen","Pain and inflammation","indigestion; headache; dizziness","VitalAxis Labs","220","No"
"Junostat2-686","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Orion Medica","325","No"
"Karopril2-687","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Lumen Pharma","50","No"
"Lumapine2-688","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","CedarBridge Labs","10","No"
"Medisone2-689","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Silverline Pharmaceuticals","10","No"
"Nexatab2-690","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","BlueLake Pharma","120","No"
"Orbizol2-691","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","NovaHealth Labs","25","No"
"Pillofine2-692","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","MediCore Therapeutics","850","Yes"
"Quinmide2-693","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Pillara Biotech","10","Yes"
"Rivotril2-694","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","ClearPath Pharmaceuticals","25","Yes"
"Sanovex2-695","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","EverWell Labs","30","Yes"
"Teraril2-696","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Suncrest Pharma","2.5","Yes"
"Uronac2-697","enalapril","High blood pressure","cough; dizziness; high potassium","GreenLeaf Bio","2.5","Yes"
"Vitamir2-698","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","PrimeCure Inc","5","Yes"
"Wellonex2-699","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Horizon Health","100","Yes"
"Xylorova2-700","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","VitalAxis Labs","25","Yes"
"Yaradex2-701","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Orion Medica","500","Yes"
"Zenolon2-702","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Lumen Pharma","500","Yes"
"Acuzep2-703","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","CedarBridge Labs","250","Yes"
"Biomox2-704","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Silverline Pharmaceuticals","100","Yes"
"Curacillin2-705","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","BlueLake Pharma","250","Yes"
"Durastat2-706","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","NovaHealth Labs","500","Yes"
"Evopril2-707","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","MediCore Therapeutics","150","Yes"
"Flexpine2-708","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Pillara Biotech","500","Yes"
"Genosone2-709","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","ClearPath Pharmaceuticals","250","Yes"
"Hematab2-710","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","EverWell Labs","800","Yes"
"Irozol2-711","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Suncrest Pharma","650","No"
"Junofine2-712","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","GreenLeaf Bio","200","No"
"Karomide2-713","naproxen","Pain and inflammation","indigestion; headache; dizziness","PrimeCure Inc","250","No"
"Lumatril2-714","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Horizon Health","325","No"
"Medivex2-715","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","VitalAxis Labs","50","No"
"Nexaril2-716","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Orion Medica","10","No"
"Orbinac2-717","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Lumen Pharma","10","No"
"Pillomir2-718","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","CedarBridge Labs","120","No"
"Quinnex2-719","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Silverline Pharmaceuticals","25","No"
"Rivorova2-720","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","BlueLake Pharma","1000","Yes"
"Sanodex2-721","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","NovaHealth Labs","2.5","Yes"
"Teralon2-722","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","MediCore Therapeutics","50","Yes"
"Urozep2-723","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Pillara Biotech","45","Yes"
"Vitamox2-724","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","ClearPath Pharmaceuticals","20","Yes"
"Wellocillin2-725","enalapril","High blood pressure","cough; dizziness; high potassium","EverWell Labs","2.5","Yes"
"Xylostat2-726","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Suncrest Pharma","10","Yes"
"Yarapril2-727","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","GreenLeaf Bio","25","Yes"
"Zenopine2-728","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","PrimeCure Inc","50","Yes"
"Acusone2-729","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Horizon Health","875","Yes"
"Biotab2-730","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","VitalAxis Labs","500","Yes"
"Curazol2-731","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Orion Medica","500","Yes"
"Durafine2-732","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Lumen Pharma","100","Yes"
"Evomide2-733","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","CedarBridge Labs","250","Yes"
"Flextril2-734","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Silverline Pharmaceuticals","500","Yes"
"Genovex2-735","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","BlueLake Pharma","150","Yes"
"Hemaril2-736","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","NovaHealth Labs","500","Yes"
"Ironac2-737","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","MediCore Therapeutics","250","Yes"
"Junomir2-738","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Pillara Biotech","800","Yes"
"Karonex2-739","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","ClearPath Pharmaceuticals","325","No"
"Lumarova2-740","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","EverWell Labs","400","No"
"Medidex2-741","naproxen","Pain and inflammation","indigestion; headache; dizziness","Suncrest Pharma","500","No"
"Nexalon2-742","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","GreenLeaf Bio","325","No"
"Orbizep2-743","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","PrimeCure Inc","50","No"
"Pillomox2-744","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Horizon Health","10","No"
"Quincillin2-745","loratadine","Seasonal allergies","headache; dry mouth; fatigue","VitalAxis Labs","10","No"
"Rivostat2-746","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Orion Medica","120","No"
"Sanopril2-747","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Lumen Pharma","25","No"
"Terapine2-748","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","CedarBridge Labs","500","Yes"
"Urosone2-749","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Silverline Pharmaceuticals","5","Yes"
"Vitatab2-750","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","BlueLake Pharma","100","Yes"
"Wellozol2-751","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","NovaHealth Labs","15","Yes"
"Xylofine2-752","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","MediCore Therapeutics","5","Yes"
"Yaramide2-753","enalapril","High blood pressure","cough; dizziness; high potassium","Pillara Biotech","2.5","Yes"
"Zenotril2-754","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","ClearPath Pharmaceuticals","2.5","Yes"
"Acuvex2-755","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","EverWell Labs","50","Yes"
"Bioril2-756","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Suncrest Pharma","100","Yes"
"Curanac2-757","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","GreenLeaf Bio","250","Yes"
"Duramir2-758","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","PrimeCure Inc","500","Yes"
"Evonex2-759","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Horizon Health","750","Yes"
"Flexrova2-760","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","VitalAxis Labs","100","Yes"
"Genodex2-761","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Orion Medica","250","Yes"
"Hemalon2-762","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Lumen Pharma","500","Yes"
"Irozep2-763","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","CedarBridge Labs","150","Yes"
"Junomox2-764","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Silverline Pharmaceuticals","500","Yes"
"Karocillin2-765","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","BlueLake Pharma","250","Yes"
"Lumastat2-766","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","NovaHealth Labs","800","Yes"
"Medipril2-767","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","MediCore Therapeutics","500","No"
"Nexapine2-768","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Pillara Biotech","600","No"
"Orbisone2-769","naproxen","Pain and inflammation","indigestion; headache; dizziness","ClearPath Pharmaceuticals","220","No"
"Pillotab2-770","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","EverWell Labs","325","No"
"Quinzol2-771","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","Suncrest Pharma","50","No"
"Rivofine2-772","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","GreenLeaf Bio","10","No"
"Sanomide2-773","loratadine","Seasonal allergies","headache; dry mouth; fatigue","PrimeCure Inc","10","No"
"Teratril2-774","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Horizon Health","120","No"
"Urovex2-775","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","VitalAxis Labs","25","No"
"Vitaril2-776","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Orion Medica","850","Yes"
"Wellonac2-777","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Lumen Pharma","10","Yes"
"Xylomir2-778","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","CedarBridge Labs","25","Yes"
"Yaranex2-779","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Silverline Pharmaceuticals","30","Yes"
"Zenorova2-780","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","BlueLake Pharma","40","Yes"
"Acudex2-781","enalapril","High blood pressure","cough; dizziness; high potassium","NovaHealth Labs","2.5","Yes"
"Biolon2-782","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","MediCore Therapeutics","5","Yes"
"Curazep2-783","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Pillara Biotech","100","Yes"
"Duramox2-784","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","ClearPath Pharmaceuticals","25","Yes"
"Evocillin2-785","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","EverWell Labs","500","Yes"
"Flexstat2-786","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","Suncrest Pharma","500","Yes"
"Genopril2-787","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","GreenLeaf Bio","250","Yes"
"Hemapine2-788","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","PrimeCure Inc","100","Yes"
"Irosone2-789","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Horizon Health","250","Yes"
"Junotab2-790","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","VitalAxis Labs","500","Yes"
"Karozol2-791","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Orion Medica","150","Yes"
"Lumafine2-792","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Lumen Pharma","500","Yes"
"Medimide2-793","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","CedarBridge Labs","250","Yes"
"Nexatril2-794","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Silverline Pharmaceuticals","800","Yes"
"Orbivex2-795","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","BlueLake Pharma","650","No"
"Pilloril2-796","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","NovaHealth Labs","200","No"
"Quinnac2-797","naproxen","Pain and inflammation","indigestion; headache; dizziness","MediCore Therapeutics","250","No"
"Rivomir2-798","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Pillara Biotech","325","No"
"Sanonex2-799","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","ClearPath Pharmaceuticals","50","No"
"Terarova2-800","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","EverWell Labs","10","No"
"Urodex2-801","loratadine","Seasonal allergies","headache; dry mouth; fatigue","Suncrest Pharma","10","No"
"Vitalon2-802","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","GreenLeaf Bio","120","No"
"Wellozep2-803","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","PrimeCure Inc","25","No"
"Xylomox2-804","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Horizon Health","1000","Yes"
"Yaracillin2-805","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","VitalAxis Labs","2.5","Yes"
"Zenostat2-806","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Orion Medica","50","Yes"
"Acupril2-807","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Lumen Pharma","45","Yes"
"Biopine2-808","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","CedarBridge Labs","10","Yes"
"Curasone2-809","enalapril","High blood pressure","cough; dizziness; high potassium","Silverline Pharmaceuticals","2.5","Yes"
"Duratab2-810","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","BlueLake Pharma","10","Yes"
"Evozol2-811","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","NovaHealth Labs","25","Yes"
"Flexfine2-812","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","MediCore Therapeutics","50","Yes"
"Genomide2-813","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Pillara Biotech","875","Yes"
"Hematril2-814","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","ClearPath Pharmaceuticals","500","Yes"
"Irovex2-815","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","EverWell Labs","500","Yes"
"Junoril2-816","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","Suncrest Pharma","100","Yes"
"Karonac2-817","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","GreenLeaf Bio","250","Yes"
"Lumamir2-818","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","PrimeCure Inc","500","Yes"
"Medinex2-819","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","Horizon Health","150","Yes"
"Nexarova2-820","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","VitalAxis Labs","500","Yes"
"Orbidex2-821","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Orion Medica","250","Yes"
"Pillolon2-822","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","Lumen Pharma","800","Yes"
"Quinzep2-823","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","CedarBridge Labs","325","No"
"Rivomox2-824","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Silverline Pharmaceuticals","400","No"
"Sanocillin2-825","naproxen","Pain and inflammation","indigestion; headache; dizziness","BlueLake Pharma","500","No"
"Terastat2-826","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","NovaHealth Labs","325","No"
"Uropril2-827","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","MediCore Therapeutics","50","No"
"Vitapine2-828","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Pillara Biotech","10","No"
"Wellosone2-829","loratadine","Seasonal allergies","headache; dry mouth; fatigue","ClearPath Pharmaceuticals","10","No"
"Xylotab2-830","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","EverWell Labs","120","No"
"Yarazol2-831","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","Suncrest Pharma","25","No"
"Zenofine2-832","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","GreenLeaf Bio","500","Yes"
"Acumide2-833","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","PrimeCure Inc","5","Yes"
"Biotril2-834","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","Horizon Health","100","Yes"
"Curavex2-835","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","VitalAxis Labs","15","Yes"
"Duraril2-836","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Orion Medica","2.5","Yes"
"Evonac2-837","enalapril","High blood pressure","cough; dizziness; high potassium","Lumen Pharma","2.5","Yes"
"Flexmir2-838","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","CedarBridge Labs","2.5","Yes"
"Genonex2-839","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Silverline Pharmaceuticals","50","Yes"
"Hemarova2-840","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","BlueLake Pharma","100","Yes"
"Irodex2-841","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","NovaHealth Labs","250","Yes"
"Junolon2-842","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","MediCore Therapeutics","500","Yes"
"Karozep2-843","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Pillara Biotech","750","Yes"
"Lumamox2-844","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","ClearPath Pharmaceuticals","100","Yes"
"Medicillin2-845","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","EverWell Labs","250","Yes"
"Nexastat2-846","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","Suncrest Pharma","500","Yes"
"Orbipril2-847","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","GreenLeaf Bio","150","Yes"
"Pillopine2-848","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","PrimeCure Inc","500","Yes"
"Quinsone2-849","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","Horizon Health","250","Yes"
"Rivotab2-850","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","VitalAxis Labs","800","Yes"
"Sanozol2-851","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Orion Medica","500","No"
"Terafine2-852","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","Lumen Pharma","600","No"
"Uromide2-853","naproxen","Pain and inflammation","indigestion; headache; dizziness","CedarBridge Labs","220","No"
"Vitatril2-854","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Silverline Pharmaceuticals","325","No"
"Wellovex2-855","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","BlueLake Pharma","50","No"
"Xyloril2-856","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","NovaHealth Labs","10","No"
"Yaranac2-857","loratadine","Seasonal allergies","headache; dry mouth; fatigue","MediCore Therapeutics","10","No"
"Zenomir2-858","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","Pillara Biotech","120","No"
"Acunex2-859","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","ClearPath Pharmaceuticals","25","No"
"Biorova2-860","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","EverWell Labs","850","Yes"
"Curadex2-861","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","Suncrest Pharma","10","Yes"
"Duralon2-862","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","GreenLeaf Bio","25","Yes"
"Evozep2-863","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","PrimeCure Inc","30","Yes"
"Flexmox2-864","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","Horizon Health","20","Yes"
"Genocillin2-865","enalapril","High blood pressure","cough; dizziness; high potassium","VitalAxis Labs","2.5","Yes"
"Hemastat2-866","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Orion Medica","5","Yes"
"Iropril2-867","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","Lumen Pharma","100","Yes"
"Junopine2-868","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","CedarBridge Labs","25","Yes"
"Karosone2-869","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Silverline Pharmaceuticals","500","Yes"
"Lumatab2-870","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","BlueLake Pharma","500","Yes"
"Medizol2-871","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","NovaHealth Labs","250","Yes"
"Nexafine2-872","doxycycline","Acne and bacterial infections","photosensitivity; nausea; diarrhea","MediCore Therapeutics","100","Yes"
"Orbimide2-873","metronidazole","Anaerobic bacterial and protozoal infections","metallic taste; nausea; headache","Pillara Biotech","250","Yes"
"Pillotril2-874","cephalexin","Skin and respiratory infections","diarrhea; rash; dizziness","ClearPath Pharmaceuticals","500","Yes"
"Quinvex2-875","clindamycin","Serious bacterial infections","diarrhea; stomach pain; rash","EverWell Labs","150","Yes"
"Rivoril2-876","clarithromycin","Respiratory infections and H. pylori","nausea; taste disturbance; diarrhea","Suncrest Pharma","500","Yes"
"Sanonac2-877","levofloxacin","Respiratory and urinary infections","nausea; headache; dizziness","GreenLeaf Bio","250","Yes"
"Teramir2-878","sulfamethoxazole/trimethoprim","Urinary and certain respiratory infections","rash; nausea; photosensitivity","PrimeCure Inc","800","Yes"
"Uronex2-879","acetaminophen","Pain relief and fever reduction","rare allergic reaction; liver toxicity in overdose","Horizon Health","650","No"
"Vitarova2-880","ibuprofen","Pain, inflammation and fever","stomach upset; heartburn; headache","VitalAxis Labs","200","No"
"Wellodex2-881","naproxen","Pain and inflammation","indigestion; headache; dizziness","Orion Medica","250","No"
"Xylolon2-882","aspirin","Pain relief, fever, and heart health (low dose)","stomach upset; bleeding; tinnitus","Lumen Pharma","325","No"
"Yarazep2-883","diclofenac","Moderate pain and inflammation","stomach upset; dizziness; headache","CedarBridge Labs","50","No"
"Zenomox2-884","cetirizine","Allergic rhinitis and urticaria (hives)","drowsiness; dry mouth; headache","Silverline Pharmaceuticals","10","No"
"Acucillin2-885","loratadine","Seasonal allergies","headache; dry mouth; fatigue","BlueLake Pharma","10","No"
"Biostat2-886","fexofenadine","Allergic symptoms and hives","headache; nausea; drowsiness (rare)","NovaHealth Labs","120","No"
"Curapril2-887","diphenhydramine","Allergy relief and short-term sleep aid","drowsiness; dry mouth; dizziness","MediCore Therapeutics","25","No"
"Durapine2-888","metformin","Type 2 diabetes management","nausea; diarrhea; metallic taste","Pillara Biotech","1000","Yes"
"Evosone2-889","glipizide","Type 2 diabetes to lower blood sugar","hypoglycemia; nausea; weight gain","ClearPath Pharmaceuticals","2.5","Yes"
"Flextab2-890","sitagliptin","Type 2 diabetes (DPP-4 inhibitor)","headache; nasopharyngitis; nausea","EverWell Labs","50","Yes"
"Genozol2-891","pioglitazone","Type 2 diabetes to improve insulin sensitivity","weight gain; edema; risk of heart failure","Suncrest Pharma","45","Yes"
"Hemafine2-892","lisinopril","High blood pressure and heart failure","cough; dizziness; high potassium","GreenLeaf Bio","5","Yes"
"Iromide2-893","enalapril","High blood pressure","cough; dizziness; high potassium","PrimeCure Inc","2.5","Yes"
"Junotril2-894","amlodipine","High blood pressure and angina","swelling (edema); dizziness; flushing","Horizon Health","10","Yes"
"Karovex2-895","losartan","High blood pressure and kidney protection","dizziness; fatigue; cough (rare)","VitalAxis Labs","25","Yes"
"Lumaril2-896","metoprolol","High blood pressure and heart rate control","fatigue; dizziness; bradycardia","Orion Medica","50","Yes"
"Medinac2-897","amoxicillin","Bacterial infections (respiratory, ear, throat)","nausea; diarrhea; allergic reaction (rash)","Lumen Pharma","875","Yes"
"Nexamir2-898","azithromycin","Respiratory and skin infections","stomach pain; diarrhea; headache","CedarBridge Labs","500","Yes"
"Orbinex2-899","ciprofloxacin","Urinary and respiratory infections","dizziness; nausea; tendon pain","Silverline Pharmaceuticals","500","Yes"
